campaign_id,campaign_name,channel,start_date,end_date,budget,actual_spend,impressions,clicks,conversions,revenue_generated,roas,employee_id,status,target_audience
1,New Year Sale 2023,WhatsApp Broadcast,2025-10-21,2025-11-04,5000000,4858679,216965,6953,502,20926444,4.31,28,Completed,Gold & Platinum
2,Valentine Special,Affiliate Marketing,2024-10-01,2024-10-21,15000000,15274255,1409248,41195,1491,38251276,2.5,51,Completed,Wanita 25-40
3,Ramadan Berkah 2023,Google Ads,2025-08-28,2025-09-20,100000000,110856383,3337180,31717,2522,260947310,2.35,12,Completed,Wanita 25-40
4,Lebaran Collection,SMS Blast,2023-02-18,2023-03-13,15000000,15091724,608671,21538,1299,25757679,1.71,13,Completed,Semua Pelanggan
5,Mid Year Sale 2023,Push Notification,2025-08-23,2025-10-03,100000000,92514771,2626439,20534,1117,338290404,3.66,51,Completed,New Customers
6,Independence Day Promo,SMS Blast,2023-02-02,2023-03-16,50000000,56838040,2278501,31604,1297,117005370,2.06,49,Completed,Semua Pelanggan
7,Harbolnas 11.11,SMS Blast,2025-08-02,2025-08-17,5000000,4573139,2991998,53017,745,26052630,5.7,51,Completed,Wanita 25-40
8,Year End Sale 2023,Facebook Ads,2025-06-07,2025-06-19,100000000,98948560,3730833,171206,9613,554164368,5.6,68,Completed,Gold & Platinum
9,New Year Sale 2024,WhatsApp Broadcast,2023-01-20,2023-01-29,2000000,1781355,373164,12844,1015,7580596,4.26,56,Completed,New Customers
10,Valentine Love,YouTube Ads,2026-06-11,2026-07-23,50000000,50447016,1078677,32841,2347,111895542,2.22,40,Completed,Laki-laki 18-35
11,Ramadan Berkah 2024,Instagram Ads,2025-08-26,2025-10-07,75000000,63810649,3511109,49812,2323,401224303,6.29,56,Running,Semua Pelanggan
12,Lebaran Exclusive,Influencer Collaboration,2026-01-17,2026-01-26,50000000,54063481,1172091,17980,795,253064146,4.68,68,Paused,Semua Pelanggan
13,Summer Collection,SEO Content,2026-01-18,2026-02-13,10000000,9098524,428679,19948,1036,66687344,7.33,18,Running,New Customers
14,Back to School,Google Ads,2024-11-14,2024-12-16,50000000,50469505,906689,11517,916,291034557,5.77,69,Paused,Semua Pelanggan
15,Harbolnas 12.12,TikTok Ads,2024-12-09,2025-01-15,5000000,4703286,3084259,132204,6654,37018473,7.87,52,Completed,Inactive Customers
16,Year End Clearance 2024,WhatsApp Broadcast,2024-11-30,2024-12-26,5000000,4906569,2266568,82495,906,33155148,6.76,12,Running,Laki-laki 18-35
17,New Year Sale 2025,Influencer Collaboration,2023-10-12,2023-11-09,50000000,50043137,2554353,43251,3209,202544524,4.05,61,Completed,Semua Pelanggan
18,Spring Collection,TikTok Ads,2026-01-04,2026-01-14,25000000,28276125,2445209,19608,630,60269031,2.13,39,Paused,New Customers
19,Ramadan Berkah 2025,Affiliate Marketing,2023-11-30,2023-12-21,75000000,72855559,1431430,17757,1170,179368464,2.46,70,Planned,Semua Pelanggan
20,Lebaran Festive,Email Marketing,2024-01-25,2024-02-24,10000000,8650671,4159122,155269,6813,35049486,4.05,65,Completed,Laki-laki 18-35
21,Summer Heat Sale,SEO Content,2023-12-02,2024-01-15,10000000,10134064,2483437,75206,5549,78079727,7.7,53,Completed,New Customers
22,Independence Day 2025,SMS Blast,2024-04-02,2024-04-10,100000000,114441217,3970528,36134,658,844298767,7.38,73,Completed,Semua Pelanggan
23,Harbolnas Mega Sale,Influencer Collaboration,2024-07-22,2024-08-08,2000000,1795452,906737,16775,1020,9346895,5.21,25,Completed,Wanita 25-40
24,Year End 2025,Instagram Ads,2024-01-24,2024-02-14,2000000,2174955,4132902,22685,604,14508254,6.67,40,Completed,Semua Pelanggan
25,New Year 2026,TikTok Ads,2025-04-24,2025-05-17,50000000,52715903,1579195,74186,4456,421143810,7.99,47,Paused,Semua Pelanggan
26,Valentine Romance,YouTube Ads,2024-07-16,2024-07-27,75000000,69572189,4895777,102838,5511,465421513,6.69,75,Paused,Gold & Platinum
27,Ramadan Berkah 2026,Email Marketing,2025-02-28,2025-03-11,75000000,80020028,2080348,94084,5804,308891255,3.86,39,Running,Wanita 25-40
28,Mid Year Blast,YouTube Ads,2026-05-11,2026-05-30,75000000,76446519,4225583,68765,1744,383811505,5.02,71,Completed,Semua Pelanggan
29,Summer Vibes,Facebook Ads,2023-01-23,2023-02-27,15000000,12945046,3008089,110922,1316,39969769,3.09,55,Completed,Laki-laki 18-35
30,Grand Opening Anniversary,Google Ads,2023-12-22,2024-01-11,100000000,100288856,886830,43781,3290,782398577,7.8,8,Running,Wanita 25-40
